peru https t co	2463
lima https t co	2268
lima peru https t	1242
en lima enter enter	701
lima enter enter https	697
una tendencia en lima	697
tendencia en lima enter	697
en lima peru https	644
per https t co	465
hpa enter pp 0	446
enter pp 0 0mm	436
0 0mm enter hum	436
pp 0 0mm enter	436
02 ws2080 enter wind	400
peru enter enter https	395
en peru enter enter	394
tendencia en peru enter	392
una tendencia en peru	392
miraflores lima https t	354
in lima https t	353
de lima https t	346
in miraflores lima https	327
susanochoamusica enter porqueestahembranollora enter	309
cusco peru https t	238
in san isidro lima	218
san isidro lima https	212
isidro lima https t	212
00 02 ws2080 enter	207
h enter t 15	200
c enter heatindex 15	200
30 02 ws2080 enter	193
hum 99 enter weathercloud	191
at0 0km h gust	191
enter hum 99 enter	191
0mm enter hum 99	189
qu edad tienes enter	189
miraflores https t co	176
h enter t 16	172
c enter heatindex 16	172
co https t co	163
con https t co	160
enter porqueestahembranollora enter radiocorazonapuestaporelper	160
cusco https t co	157
departamento de lima https	155
enter porqueestahembranollora enter radiocorazonapuestaporelperu	147
santiago de surco lima	145
enter radiocorazonapuestaporelperu enter susanochoa	143
se https t co	143
porqueestahembranollora enter radiocorazonapuestaporelperu enter	143
v https t co	139
piura peru https t	137
la se ora k	130
pedro_olaechea jimmychinchay bankadafp canaln_	127
verolinaresc pedro_olaechea jimmychinchay bankadafp	127
pid https t co	127
u https t co	127
h https t co	125
cobarde y est pid	124
canaln_ ste desparpajo de	124
ste desparpajo de persona	124
desparpajo de persona es	124
est pid https t	124
de persona es un	124
un cobarde y est	124
y est pid https	124
jimmychinchay bankadafp canaln_ ste	124
bankadafp canaln_ ste desparpajo	124
https t co ijd1l68e7f	124
un https t co	124
es un cobarde y	124
