t	368514
co	364177
https	363988
de	218210
en	187458
y	178907
a	176707
que	150527
la	149692
el	122447
n	103690
no	92296
es	69385
los	66947
enter	63222
se	62312
s	60869
con	60594
por	57865
un	57781
10	56493
me	53958
lo	53262
para	45724
o	42955
m	42511
las	40117
una	39069
del	38826
mi	29595
d	28993
al	28875
1	28732
si	28583
pero	26566
chile	26379
como	25530
te	24688
as	21189
le	20069
est	19949
su	18762
4	18512
ya	18239
yo	18002
2	17084
q	16605
ser	16398
santiago	16050
hoy	15572
3	15537
todo	15295
este	15157
esta	14281
qu	14262
os	14041
cuando	13682
gracias	13386
ahora	13381
hay	13150
6	13106
ni	12673
muy	12606
son	12576
eso	12534
todos	12196
c	12027
tu	11906
fuego	11705
0	11219
san	11127
in	10984
i	10615
avenida	10580
bien	10513
accidente	10341
vehicular	9874
mejor	9791
b	9784
porque	9598
tiene	9150
sin	8974
12	8970
l	8917
solo	8818
nos	8759
ver	8606
siempre	8597
hace	8552
nada	8313
pa	8186
gas	8108
fue	7791
era	7768
estoy	7747
tengo	7648
5	7632
les	7631
p	7630
sus	7625
