chile https	11905
10 4	11232
10 6	9722
en santiago	9713
accidente vehicular	9405
vehicular 10	8986
10 0	8359
de gas	7932
gas 10	7769
emanaci n	7312
4 1	6738
en estructura	6622
10 3	6590
humo en	6430
o humo	6360
regi n	6058
fuego o	6034
i m	5987
y avenida	5665
estructura 10	5473
m at	5333
en san	5226
a https	5147
fuego en	4928
10 2	4561
n https	4411
en las	4128
en maip	4018
0 1	4016
de personas	3909
personas 10	3906
en los	3865
de https	3747
y o	3741
en chile	3689
a de	3678
de chile	3585
1 b	3537
concepci n	3526
y los	3491
en providencia	3471
10 9	3425
a n	3362
u oa	3339
basura 10	3313
o basura	3264
s lo	3254
