https t co	57102
peru https t	2463
enter https t	2310
lima https t	2268
i m at	1602
enter enter https	1428
lima peru https	1242
una tendencia en	1090
ahora una tendencia	1089
es ahora una	1089
a https t	725
lima enter enter	719
en lima enter	706
tendencia en lima	697
enter enter enter	667
en lima peru	651
n https t	627
de https t	599
acaba de publicar	595
s https t	559
una foto en	528
publicar una foto	525
de publicar una	524
e https t	506
per https t	465
hpa enter pp	446
enter pp 0	446
ws2080 enter wind	446
c enter heatindex	446
h enter t	446
0mm enter hum	436
0 0mm enter	436
pp 0 0mm	436
despu s de	427
peru enter enter	422
p https t	421
d https t	412
c dp 15	401
02 ws2080 enter	400
en peru enter	394
tendencia en peru	392
el d a	380
c https t	375
l https t	370
in miraflores lima	354
miraflores lima https	354
in lima https	353
de lima https	346
la corrupci n	337
la https t	337
m s de	328
en https t	324
buenos d as	315
y https t	314
enter porqueestahembranollora enter	311
susanochoamusica enter porqueestahembranollora	310
un d a	295
san mart n	273
todo lo que	272
que https t	269
d a de	257
felices fiestas patrias	256
m s que	251
el https t	251
m https t	251
in san isidro	244
edad tienes enter	239
cusco peru https	238
n de la	234
t https t	232
san isidro lima	221
0km h gust	221
la naci n	216
isidro lima https	212
q https t	208
00 02 ws2080	207
es m s	201
enter t 15	200
enter heatindex 15	200
buen d a	198
no https t	198
o https t	193
30 02 ws2080	193
hum 99 enter	191
enter hum 99	191
at0 0km h	191
99 enter weathercloud	191
qu edad tienes	190
lo m s	190
es https t	189
fin de semana	187
de lo que	187
la se ora	178
feliz cumplea os	177
miraflores https t	176
enter heatindex 16	172
enter t 16	172
a todos los	171
uno de los	169
departamento de lima	169
