voy a	14857
ganas de	10117
y me	8729
va a	7565
buenos aires	6952
no te	6896
que te	6825
argentina https	5799
no puedo	5388
me voy	4944
se me	4854
a que	4720
ir a	4705
te amo	4585
extra o	4371
aires https	4364
todo el	4347
si no	4324
en mi	4280
no hay	4063
a o	3963
la gente	3952
no lo	3932
de que	3881
y yo	3856
a ver	3837
que le	3774
van a	3686
s que	3667
pero no	3666
tengo que	3634
para el	3629
yo no	3539
el d	3526
una foto	3479
y que	3475
a dormir	3401
vas a	3395
mi vida	3383
de mierda	3383
y se	3330
que lindo	3294
todo lo	3262
en un	3149
y a	3136
sue o	3125
acaba de	3124
